total_cases,total_deaths,new_cases,new_deaths,new_cases_smoothed,new_deaths_smoothed
2000.0,21.0,0.0,0.0,2.29,0.0
2000.0,21.0,0.0,0.0,2.29,0.0
2000.0,21.0,0.0,0.0,2.29,0.0
2000.0,21.0,0.0,0.0,2.29,0.0
2007.0,21.0,7.0,0.0,1.0,0.0
2007.0,21.0,0.0,0.0,1.0,0.0
2007.0,21.0,0.0,0.0,1.0,0.0
2007.0,21.0,0.0,0.0,1.0,0.0
2007.0,21.0,0.0,0.0,1.0,0.0
2007.0,21.0,0.0,0.0,1.0,0.0
2007.0,21.0,0.0,0.0,1.0,0.0
2015.0,21.0,8.0,0.0,1.14,0.0
2015.0,21.0,0.0,0.0,1.14,0.0
2015.0,21.0,0.0,0.0,1.14,0.0
2015.0,21.0,0.0,0.0,1.14,0.0
2015.0,21.0,0.0,0.0,1.14,0.0
2015.0,21.0,0.0,0.0,1.14,0.0
2015.0,21.0,0.0,0.0,1.14,0.0
2026.0,21.0,11.0,0.0,1.57,0.0
2026.0,21.0,0.0,0.0,1.57,0.0
2026.0,21.0,0.0,0.0,1.57,0.0
2026.0,21.0,0.0,0.0,1.57,0.0
2026.0,21.0,0.0,0.0,1.57,0.0
2026.0,21.0,0.0,0.0,1.57,0.0
2026.0,21.0,0.0,0.0,1.57,0.0
2038.0,21.0,12.0,0.0,1.71,0.0
2038.0,21.0,0.0,0.0,1.71,0.0
2038.0,21.0,0.0,0.0,1.71,0.0
2038.0,21.0,0.0,0.0,1.71,0.0
2038.0,21.0,0.0,0.0,1.71,0.0
2038.0,21.0,0.0,0.0,1.71,0.0
2038.0,21.0,0.0,0.0,1.71,0.0
2052.0,21.0,14.0,0.0,2.0,0.0
2052.0,21.0,0.0,0.0,2.0,0.0
2052.0,21.0,0.0,0.0,2.0,0.0
2052.0,21.0,0.0,0.0,2.0,0.0
2052.0,21.0,0.0,0.0,2.0,0.0
2052.0,21.0,0.0,0.0,2.0,0.0
2052.0,21.0,0.0,0.0,2.0,0.0
2081.0,22.0,29.0,1.0,4.14,0.14
2081.0,22.0,0.0,0.0,4.14,0.14
2081.0,22.0,0.0,0.0,4.14,0.14
2081.0,22.0,0.0,0.0,4.14,0.14
2081.0,22.0,0.0,0.0,4.14,0.14
2081.0,22.0,0.0,0.0,4.14,0.14
2081.0,22.0,0.0,0.0,4.14,0.14
2115.0,23.0,34.0,1.0,4.86,0.14
2115.0,23.0,0.0,0.0,4.86,0.14
2115.0,23.0,0.0,0.0,4.86,0.14
2115.0,23.0,0.0,0.0,4.86,0.14
2115.0,23.0,0.0,0.0,4.86,0.14
2115.0,23.0,0.0,0.0,4.86,0.14
2115.0,23.0,0.0,0.0,4.86,0.14
2144.0,23.0,29.0,0.0,4.14,0.0
2144.0,23.0,0.0,0.0,4.14,0.0
2144.0,23.0,0.0,0.0,4.14,0.0
2144.0,23.0,0.0,0.0,4.14,0.0
2144.0,23.0,0.0,0.0,4.14,0.0
2144.0,23.0,0.0,0.0,4.14,0.0
2144.0,23.0,0.0,0.0,4.14,0.0
2181.0,23.0,37.0,0.0,5.29,0.0
2181.0,23.0,0.0,0.0,5.29,0.0
2181.0,23.0,0.0,0.0,5.29,0.0
2181.0,23.0,0.0,0.0,5.29,0.0
2181.0,23.0,0.0,0.0,5.29,0.0
2181.0,23.0,0.0,0.0,5.29,0.0
2181.0,23.0,0.0,0.0,5.29,0.0
2210.0,23.0,29.0,0.0,4.14,0.0
2210.0,23.0,0.0,0.0,4.14,0.0
2210.0,23.0,0.0,0.0,4.14,0.0
2210.0,23.0,0.0,0.0,4.14,0.0
