FECHA_CORTE;ANIO;COD_DPTO;NOM_DPTO;NOM_MUSEO;COD_MES;NOM_MES;COD_TIPO;NOM_TIPO;ADU_BOLESPPAGANTES;EST_BOLESPPAGANTES;NIN_BOLESPPAGANTES;MIL_BOLESPPAGANTES;ADM_BOLESPPAGANTES;ADU_PAGANTES;EST_PAGANTES;NIN_PAGANTES;TOTAL_PAGANTES;ADU_BOLESPNOPAGANTES;EST_BOLESPNOPAGANTES;NIN_BOLESPNOPAGANTES;MIL_BOLESPNOPAGANTES;ADM_BOLESPNOPAGANTES;ADU_NOPAGANTES;EST_NOPAGANTES;NIN_NOPAGANTES;TOTAL_NOPAGANTES;TOTAL;TIPO_cat_cod
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;03;Marzo;0;Nacionales;0;0;0;0;0;1,215;640;240;2,095;0;0;0;0;0;634;77;123;834;2,929;Sitio Arqueológico
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;03;Marzo;1;Extranjeros;0;0;0;0;0;542;136;13;691;0;0;0;0;0;0;0;0;0;691;Sitio Arqueológico
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;03;Marzo;2;Nacionales Y Extranjeros;0;0;0;0;0;1,757;776;253;2,786;0;0;0;0;0;634;77;123;834;3,620;Sitio Arqueológico
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;04;Abril;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;04;Abril;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;04;Abril;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;05;Mayo;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;05;Mayo;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;05;Mayo;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;06;Junio;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;06;Junio;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;06;Junio;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;07;Julio;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;07;Julio;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;07;Julio;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;08;Agosto;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;08;Agosto;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;08;Agosto;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;09;Setiembre;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;09;Setiembre;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;09;Setiembre;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;10;Octubre;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;10;Octubre;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;10;Octubre;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Zona Arqueologica Monumental Huaca del Sol y de La Luna;11;Noviembre;0;Nacionales;0;0;0;0;0;352;29;4;385;0;0;0;0;0;27;13;2;42;427;Sitio Arqueológico
