fecha,hora,latitud,longitud,profundidad,magnitud,intensidad,referencia,reporte_acelerometrico_pdf
,,-15.75,-72.09,14,3.6,II Huambo-Arequipa,3 Km. SE de Huambo,
,,-12.07,-77.45,31,3.9,II Lima,46 Km Oeste de Lima,
,,-9.51,-79,50,4.3,"II Samanco, Chimbote",63 km. Oeste SO de Samanco,
,,-9.41,-76.61,153,4.4,II Llata,27 km al Este-NE de Llata,
,,-14.58,-73.6,12,5.2,"VI Pampamarca;  IV Chalhuanca;  III Cora Cora, Querobamba; II-III Antabamba; II Puquio, Pausa",52 km al Norte-NE de Cora Cora,
,,-4.8,-80.12,90,4.8,III Chulucanas,33 km  al Norte de Chulucanas,
,,-13.47,-76.33,62,4.3,II Cañete,16 km al Oeste de Tambo de Mora,
,,-16.23,-70.54,8,4.3,III-IV Ichuña,10 km al sur de Ichuña,
,,-16.24,-70.54,6,3.6,II Ichuña,11 km al Sur de Ichuña,
,,-16.24,-70.52,8,3.6,II Ichuña,11 km al Sur de Ichuña,
,,-16.24,-70.57,22,3.1,II Ichuña,11 km al Sur SO de Ichuña,
,,-16.24,-70.57,8,3.8,II-III Ichuña,12 km Sur SO de Ichuña,
,,-16.21,-70.54,17,3.7,II-III Ichuña,8 km al Sur de Ichuña,
,,-16.22,-70.52,9,3.4,II Ichuña,9 km al Sur de Ichuña,
,,-16.26,-70.53,23,3.4,II Ichuña,13 km al Sur de Ichuña,
,,-16,-74.51,30,4.6,"III Yauca, Chala; II-III Lomas, Atico; II San Juan de Marcona, Ocoña",33 km al Oeste SO de Chala,
,,-14.57,-73.56,7,4,III Cotaruse,1 km al Sur-SO de Pampamarca,
,,-4.16,-80.64,52,6,"V Mancora, Zorritos, Talara; IV Paita, Sullana, Tumbes, Piura; III Chulucanas, Ayabaca, Sechura, Olmos; II San Ignacio, Jaen, Ferreñape, Chiclayo, Trujillo",44 km al Este de Mancora,
,,-16.22,-70.54,7,4,III Ichuña,9 km al Sur de Ichuña,
,,-4.22,-80.57,41,4.2,II Mancora,54 km Este-SE de Mancora,
,,-16.19,-70.56,12,3.4,III Ichuña,6 km al Sur-SO de Ichuña,
,,-4.18,-80.63,47,4.4,II Mancora,46 km  al Este de Mancora,
,,-8.01,-75.92,168,5.4,"IV Tocache; III Uchiza, Pucallpa, Aguaytia; II Juanjuí, Saposoa, Tingo María, Huánuco",69 km al Este-NE Tocache Nuevo,
,,-9.62,-78.99,44,4.7,"IV Chimbote,Samanco;III Casma;II Yungay, Trujillo",68 km al SO de Samanco,
,,-16.38,-72.4,92,4.4,III Quilca; II Arequipa,36 km al Sur-SE de Aplao,
,,-15.73,-71.73,9,3.2,II Maca,11 km al Sur-SE de Maca,
,,-12.45,-76.15,101,4.2,"II Calango, Yauyos",26 km Oeste de Yauyos,
,,-15.66,-73.62,94,6,"IV-V Caraveli, IV Pullo, III-IV Puquio, Chuquibamba",30 Km al Oeste-NO de Caraveli,
,,-4.53,-80.18,92,4.6,"II-III Ayabaca; II Tamboraque, Chulucanas, Macara",54 Km. Oeste-NO de Ayabaca,
,,-4.94,-80.91,41,4.5,"III Sullana; II Paita, Piura",25 km. al Oeste SO de Sullana,
,,-12.78,-76.83,52,4.1,"III Mala, Lima; II Calango",27 km al Oeste-SO de Mala,
,,-5.61,-77.21,37,4.8,II Nueva Cajamarca,37 Km al Norte-NE de Nueva Cajamarca,
,,-12.03,-77.27,63,3.8,II Lima,14 km Oeste-NO de Callao-Lima,
,,-12.65,-77.18,28,4.4,"II-III Chilca; II Lima, Mala",50 Km. al Oeste-SO de Chilca,
,,-10.65,-74.7,45,4.5,"II-III Satipo, II La Convención",50 km al Sur-Este de Puerto Bermudez-Pasco,
,,-15.78,-74.06,66,4.6,II Chala,21 Km. Este NE de Chala,
,,-10.38,-78.64,42,4.3,II-III Huarmey,64 km al Oeste-SO de Huarmey,
,,-12.53,-76.81,51,3.6,II Lima,8 km al Oeste -SO de Chilca,
,,-10.59,-78.5,48,4.5,II-III Huarmey,70 km al Sur SO de Huarmey,
,,-9.05,-74.36,160,4.8,II Puerto Inca,76 km al Este-NE de Puerto Inca,
,,-11.82,-77.57,54,4.8,"III-IV Ancón-Lima; II-III Chilca, Huaral",44 km al Oste de Ancon,
,,-16.38,-72.73,86,4.2,II Camana,27 km al Norte de Camana,
,,-17.18,-71.06,15,3.5,II Moquegua,14 km al Oeste de Moquegua,
,,-4.84,-81.06,47,3.8,II Sullana,28 km al Norte - NE de Paita,
,,-14.46,-76.39,16,4.2,II Ica,85 km al Oeste-SO de Ica,
,,-14.55,-73.59,12,4.1,III-IV Pampamarca; II Chalhuanca,4 km al Oeste-NO de Pampamarca,
,,-12.22,-78.38,27,4.4,II Lima,136 km al Oeste de Callao,
,,-11.04,-77.05,118,4.6,"II  Oyón, Huaral, Ancón, Lima, Callao",51 Km al SO de Oyón,
,,-13.93,-76.07,44,3.8,"II Pisco, Ica",28 km al Sur-SE de Pisco,
,,-8.76,-78.95,75,4.4,"III Chimbote; II Viru, Trujillo",52 km al NO de Chimbote,
,,-14.11,-73.51,10,3.8,II-III Chalhuanca; II Pampamarca,36 km Oeste-NO de Chalhuanca,
,,-16.67,-73.92,34,6.3,"VI Atico,Yauca, Ocoña, Caraveli, Chala; V Nazca, Puquio, Cotahuasi, Chuquibamba, Pampacolca, Arequipa, Aplao, Mollendo; IV Ilo, Chalhuanca; III Tacna, Moquegua, Chincha Alta; II Cañete, Arica",60 km Sur-SO de Atico,
,,-16.43,-74,28,4.4,II-III Atico,47 km al Oeste-SO de Atico,
,,-14.57,-73.44,10,3.8,II Chalhuanca,13 km al Este de Pampamarca ,
,,-16.59,-73.75,30,4.3,lll Atico,44 km al Sur-SO de Ático,
,,-13.5,-76.76,53,4.3,"II San Vicente de Cañete, Tambo de Mora, Pisco",67 km al SO de San Vicente de Cañete,
,,-6.05,-76.95,28,4.7,IV-V Moyobamba;III Rioja,4 km al Este-SE de Moyobamba,
,,-16.51,-73.7,29,4.2,II-III Atico,35 km al Sur-SO de Atico-Arequipa,
,,-16.5,-73.76,30,4.2,II-III Atico,36 Km al Sur-SO de Atico-Arequipa,
,,-14.14,-73.66,105,4.6,II Soras,21 km al Este de Soras-Ayacucho,
,,-13.94,-76.28,50,4.4,"III Pisco, Chincha, Tambo de Mora",27 km al Sur-SO de Pisco-Ica,
,,-15.98,-74.6,67,5.5,"IV Chala, Yauca, Lomas; III-IV Nazca; III Atico, Acari; II-III Palpa, Caraveli; II Ica, Ocoña",36 km al Sur-SO de Yauca-Arequipa,
,,-13.09,-77.18,46,3.9,"II Chilca, Lima y Callao",77 km al Sur-Oeste de Mala-Lima.,
,,-6.42,-77.71,15,3.6,II Chachapoyas,26 km al SE de Chachapoyas-Amazonas.,
,,-12.6,-76.92,61,3.9,II Lima,22 km al Oeste-SO de Chilca-Lima,
,,-7.55,-75.77,125,5.2,"II-III Contamana, II Pucallpa",87 km al Oeste-SO de Contamana-Loreto,
,,-14.56,-73.59,10,4,III Pampamarca,3 km al Oeste de Pampamarca-Ayacucho,
,,-16.06,-70.54,17,3.8,II Ichuña,9 km al Norte de Ichuña-Moquegua,
,,-11.3,-76.04,10,3.8,III Junin,16 km al Sur-S0 de Junín-Junín,
,,-15.73,-71.87,9,3.7,II Maca,15 km al SO de Maca-Arequipa,
,,-8.6,-76.06,9,4.7,"II Uchiza, Tocache",39 Km al Norte de Aucayacu-Huanuco,
,,-10.77,-75.16,31,4.6,"II Villa Rica, Oxapampa",15 km. Este-SE de Villa Rica-Pasco,
,,-10.7,-78.41,39,4.8,"III Barranca, Puerto Supe, Huarmey; II Lima, Callao, Huacho, Aija",71 km al Oeste de Barranca-Lima,
,,-13,-76.85,53,3.9,II Lima,46 Km al Sur SO de Mala-Lima,
,,-16.86,-70.47,18,3.9,II Carumas,24 km. al Este-SE de Carumas-Moquegua,
,,-15.32,-72.82,17,3.8,II Cotahuasi,14 km al Sur-SE de Cotahuasi-Arequipa,
,,-16.3,-74.2,32,4.3,II Chala,50 km al Sur de Chala-Arequipa,
,,-5.48,-81.17,39,4.7,"III Sechura, Paita, II Talara, Piura",39 km al Oeste de Sechura-Piura,
,,-16.44,-73.56,30,6,"V Atico; IV Ocoña, Caraveli; III-IV Chala, Camana, Aplao, Pausa, Viraco; III Quilca, Yauca; II-III Arequipa, Cotahuasi, Coracora; II Nazca, Puquio, Chivay, Pampacolca, Palpa, Pampamarca.",26 km al Sur-SE de Atico-Arequipa,
,,-8.86,-75.65,139,5.3,III-IV Aguaytia; II-III Huanuco; II Pucalpa,26 km al NO de Aguaytia-Ucayali,
