NOM_TIPO;NOM_DPTO;NOM_MUSEO;ADU_BOLESPPAGANTES;EST_BOLESPPAGANTES;NIN_BOLESPPAGANTES;MIL_BOLESPPAGANTES;ADM_BOLESPPAGANTES;TOTAL_PAGANTES
Nacionales;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;2,315
Extranjeros;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;297
Nacionales Y Extranjeros;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;2,612
Nacionales;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;1,826
Extranjeros;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;170
Nacionales Y Extranjeros;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;1,996
Nacionales;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;7,041
Extranjeros;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;162
Nacionales Y Extranjeros;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;7,203
Nacionales;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;7,426
Extranjeros;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;177
Nacionales Y Extranjeros;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;7,603
Nacionales;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;2,075
Extranjeros;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;75
Nacionales Y Extranjeros;Cajamarca;Paisaje Cultural Arqueologico Cumbemayo;0;0;0;0;0;2,150
