ANIO;NOM_MES;NOM_DPTO;COD_TIPO;TOTAL_PAGANTES
2007;Noviembre;Cusco;1;8,826
2007;Noviembre;Cusco;2;8,909
2007;Diciembre;Cusco;0;149
2007;Diciembre;Cusco;1;3,572
2007;Diciembre;Cusco;2;3,721
2007;Enero;Cusco;0;448
2007;Enero;Cusco;1;2,042
2007;Enero;Cusco;2;2,490
2007;Febrero;Cusco;0;259
2007;Febrero;Cusco;1;1,458
2007;Febrero;Cusco;2;1,717
2007;Marzo;Cusco;0;312
2007;Marzo;Cusco;1;2,039
2007;Marzo;Cusco;2;2,351
2007;Abril;Cusco;0;437
2007;Abril;Cusco;1;2,942
2007;Abril;Cusco;2;3,379
2007;Mayo;Cusco;0;350
2007;Mayo;Cusco;1;3,632
2007;Mayo;Cusco;2;3,982
2007;Junio;Cusco;0;394
2007;Junio;Cusco;1;3,522
2007;Junio;Cusco;2;3,916
2007;Julio;Cusco;0;696
2007;Julio;Cusco;1;5,630
2007;Julio;Cusco;2;6,326
2007;Agosto;Cusco;0;1,067
2007;Agosto;Cusco;1;6,086
2007;Agosto;Cusco;2;7,153
2007;Setiembre;Cusco;0;716
2007;Setiembre;Cusco;1;4,003
2007;Setiembre;Cusco;2;4,719
2007;Octubre;Cusco;0;844
2007;Octubre;Cusco;1;3,841
2007;Octubre;Cusco;2;4,685
2007;Noviembre;Cusco;0;662
2007;Noviembre;Cusco;1;2,893
2007;Noviembre;Cusco;2;3,555
2007;Diciembre;Cusco;0;426
2007;Diciembre;Cusco;1;2,199
2007;Diciembre;Cusco;2;2,625
2007;Enero;Cusco;0;888
2007;Enero;Cusco;1;1,520
2007;Enero;Cusco;2;2,408
2007;Febrero;Cusco;0;694
2007;Febrero;Cusco;1;1,177
2007;Febrero;Cusco;2;1,871
2007;Marzo;Cusco;0;454
2007;Marzo;Cusco;1;979
2007;Marzo;Cusco;2;1,433
2007;Abril;Cusco;0;631
2007;Abril;Cusco;1;1,557
2007;Abril;Cusco;2;2,188
2007;Mayo;Cusco;0;923
2007;Mayo;Cusco;1;1,325
2007;Mayo;Cusco;2;2,248
2007;Junio;Cusco;0;833
2007;Junio;Cusco;1;1,438
2007;Junio;Cusco;2;2,271
2007;Julio;Cusco;0;954
2007;Julio;Cusco;1;2,842
2007;Julio;Cusco;2;3,796
2007;Agosto;Cusco;0;1,658
2007;Agosto;Cusco;1;2,330
2007;Agosto;Cusco;2;3,988
2007;Setiembre;Cusco;0;1,192
2007;Setiembre;Cusco;1;1,451
2007;Setiembre;Cusco;2;2,643
2007;Octubre;Cusco;0;3,814
2007;Octubre;Cusco;1;1,454
2007;Octubre;Cusco;2;5,268
2007;Noviembre;Cusco;0;2,302
2007;Noviembre;Cusco;1;792
2007;Noviembre;Cusco;2;3,094
2007;Diciembre;Cusco;0;970
2007;Diciembre;Cusco;1;805
2007;Diciembre;Cusco;2;1,775
2007;Enero;Cusco;0;2
2007;Enero;Cusco;1;15
2007;Enero;Cusco;2;17
2007;Febrero;Cusco;0;2
2007;Febrero;Cusco;1;12
2007;Febrero;Cusco;2;14
2007;Marzo;Cusco;0;2
2007;Marzo;Cusco;1;20
2007;Marzo;Cusco;2;22
2007;Abril;Cusco;0;8
2007;Abril;Cusco;1;65
2007;Abril;Cusco;2;73
2007;Mayo;Cusco;0;17
2007;Mayo;Cusco;1;89
2007;Mayo;Cusco;2;106
2007;Junio;Cusco;0;12
2007;Junio;Cusco;1;81
2007;Junio;Cusco;2;93
2007;Julio;Cusco;0;20
